ASX code,Company name,Listing date,GICs industry group,Market Cap
AVL,AUSTRALIAN VANADIUM LIMITED,21/02/2007,Materials,105975716
AVM,ADVANCE METALS LIMITED,20/12/2007,Materials,6266573
AVR,ANTERIS TECHNOLOGIES LTD,24/03/2004,Health Care Equipment & Services,322624013
AVW,AVIRA RESOURCES LTD,09/01/2013,Materials,6401370
AVZ,AVZ MINERALS LIMITED,14/09/2007,Materials,N/A
AW1,AMERICAN WEST METALS LIMITED,13/12/2021,Materials,25204010
AWC,ALUMINA LIMITED,31/10/1961,Materials,4425064161
AWJ,AURIC MINING LIMITED,12/02/2021,Materials,9768189
AWV,ANOVA METALS LIMITED,18/05/2011,Materials,27167601
AX1,ACCENT GROUP LIMITED,07/07/2004,Retailing,955755727
AX8,ACCELERATE RESOURCES LIMITED,14/02/2018,Materials,9797374
AXE,ARCHER MATERIALS LIMITED,14/08/2007,Semiconductors & Semiconductor Equipment,165563193
AXI,AXIOM PROPERTIES LIMITED,31/01/1997,Real Estate,35915234
AXP,AXP ENERGY LIMITED,20/07/2006,Energy,23298723
AYA,ARTRYA LIMITED,26/11/2021,Health Care Equipment & Services,38809977
AYI,A1 INVESTMENTS & RESOURCES LTD,02/10/2007,Diversified Financials,16421946
AYM,AUSTRALIA UNITED MINING LIMITED,19/09/2011,Materials,7370310
AYT,AUSTIN METALS LIMITED,06/07/2011,Materials,8126997
AZI,ALTAMIN LIMITED,24/12/2009,Materials,37213091
AZJ,AURIZON HOLDINGS LIMITED,22/11/2010,Transportation,6884232893
AZL,ARIZONA LITHIUM LIMITED,08/07/1971,Materials,171104715
AZS,AZURE MINERALS LIMITED,16/12/2003,Materials,79492609
AZY,ANTIPA MINERALS LIMITED,20/04/2011,Materials,71860817
B4P,BEFOREPAY GROUP LIMITED,17/01/2022,Diversified Financials,18817224
BAP,BAPCOR LIMITED,24/04/2014,Retailing,2345340375
BAS,BASS OIL LIMITED,30/09/2004,Energy,13931698
BAT,BATTERY MINERALS LIMITED,29/10/2012,Materials,11700969
BBC,BNK BANKING CORPORATION LIMITED,22/05/2012,Banks,61734091
BBL,BRISBANE BRONCOS LIMITED,12/05/1989,Media & Entertainment,104903476
BBN,BABY BUNTING GROUP LIMITED,14/10/2015,Retailing,335820329
BBT,BLUEBET HOLDINGS LTD,02/07/2021,Consumer Services,82082503
BBX,BBX MINERALS LIMITED,12/08/2005,Materials,38937718
BC8,BLACK CAT SYNDICATE LIMITED,30/01/2018,Materials,70700578
BCA,BLACK CANYON LIMITED,05/05/2021,Materials,12153215
BCB,BOWEN COKING COAL LIMITED,22/06/1995,Materials,486289185
BCC,BEAM COMMUNICATIONS HOLDINGS LIMITED,06/11/1986,Technology Hardware & Equipment,19877042
BCI,BCI MINERALS LIMITED,15/12/2006,Materials,296812700
BCK,BROCKMAN MINING LIMITED,11/01/2011,Materials,213445339
BCN,BEACON MINERALS LIMITED,20/10/2006,Materials,97675972
BCT,BLUECHIIP LIMITED,09/06/2011,Technology Hardware & Equipment,19752605
BDG,BLACK DRAGON GOLD CORP.,29/08/2018,Materials,8026802
BDM,BURGUNDY DIAMOND MINES LIMITED,04/01/2013,Materials,96976375
BDT,BIRDDOG TECHNOLOGY LIMITED,20/12/2021,Technology Hardware & Equipment,31715385
BDX,BCAL DIAGNOSTICS LIMITED,21/07/2021,"Pharmaceuticals, Biotechnology & Life Sciences",12475183
