,company name,fca website,website
202,CRYSTAL INVESTMENT PROFIT,https://www.fca.org.uk/news/warnings/crystal-investment-profit,['www.crystalinvestmentprofit.com']
203,SUREFXWAY,https://www.fca.org.uk/news/warnings/surefxway,['www.surefxway.com']
204,MavadonBank,https://www.fca.org.uk/news/warnings/mavadonbank,['www.mavadonbank.com']
205,ArcadisInvest,https://www.fca.org.uk/news/warnings/arcadisinvest,['https://arcadisinvest.com/']
206,TRADEPROFITFX,https://www.fca.org.uk/news/warnings/tradeprofitfx,['www.trade-profitfx.net']
207,GCB London,https://www.fca.org.uk/news/warnings/gcb-london,['www.gcblondonltd.com']
208,REVIVEDINVEST,https://www.fca.org.uk/news/warnings/revivedinvest,['www.revivedinvest.com']
209,Bridge Lenders,https://www.fca.org.uk/news/warnings/bridge-lenders,['www.bridgelendersltd.com']
210,ONEFX TRADE,https://www.fca.org.uk/news/warnings/onefx-trade,['https://www.1fxtrade.com/']
211,24hourscryptoexpert,https://www.fca.org.uk/news/warnings/24hourscryptoexpert,['www.24hourscryptoexpert.org']
212,investfxsignals.com,https://www.fca.org.uk/news/warnings/investfxsignalscom,['www.investfxsignals.com']
213,Tomer Capital,https://www.fca.org.uk/news/warnings/tomer-capital,"['www.tomercapitalgroup.com, www.tomercapital.com']"
214,Smart Bit-FX,https://www.fca.org.uk/news/warnings/smart-bit-fx,['https://smart-bitfx.com/']
215,ADAGIO ACCOUNTANTS,https://www.fca.org.uk/news/warnings/adagio-accountants,['www.adagio-ca.com']
216,COINWHALE INVESTMENT,https://www.fca.org.uk/news/warnings/coinwhale-investment,['www.coinwhaleinvestment.com']
217,Commonwealth financial services,https://www.fca.org.uk/news/warnings/commonwealth-financial-services,['https://commonwealthfinances.com/']
218,focusloans.uk,https://www.fca.org.uk/news/warnings/focusloansuk,['focusloans.uk']
219,Marketwaves Pro,https://www.fca.org.uk/news/warnings/marketwaves-pro,['https://marketwavespro.com']
220,Copy Trade Signals.FxLtd,https://www.fca.org.uk/news/warnings/copy-trade-signalsfxltd,['https://copytradesignalsfxltd.com/']
221,IKICI,https://www.fca.org.uk/news/warnings/ikici,['www.ikici.com']
222,TradeFCA,https://www.fca.org.uk/news/warnings/tradefca,['www.tradefca.com']
223,CRYPT24FX,https://www.fca.org.uk/news/warnings/crypt24fx,['www.cryptfx24.com']
224,Astrofxtradingplatform,https://www.fca.org.uk/news/warnings/astrofxtradingplatform,['https://astrofxplatform.com']
